Taxon_name,Common_name,CW_comments,NEW_COMMENTS,MBA_guide,Comments
Dyspanopeus sayi,Mud crab,Horizon but good to keep on list.,"Do not validate any records, specimen would require examination by NHM, and specimen sent to NHM.",,Horizon species - UK Marine Strategy NIS monitoring list 2020
Ensis leei,Atlantic jacknife clam,"I have got a new ID guide for Ensis, see attached. Dead shell found in Cornwall.",,Y,UK Marine Strategy NIS monitoring list 2020
Eriocheir sinensis,Chinese mitten crab,"Not known from area, but easily spooted so keep.",,Y,UK Marine Strategy NIS monitoring list 2020
Ficopomatus enigmaticus,Trumpet tube worm,Yes. But photo of trumpet tubes.  ,,Y,UK Marine Strategy NIS monitoring list 2020
Grateloupia turuturu,Devils tongue weed,Yes - I presume you are familiar with this one.,,Y,UK Marine Strategy NIS monitoring list 2020
Hemigrapsus sanguineus,Asian shore crab,"Yes, photo pincers to show features, also spots and banded legs and ‘stridulation ridge', runs horizontally below eye. ","Do not validate any records, specimen would require examination by CW/JB, and specimen sent to NHM.",Y,UK Marine Strategy NIS monitoring list 2020
Hemigrapsus takanoi,Brush clawed crab,"Yes, photo pincers to show features, also spots and banded legs and ‘stridulation ridge', runs horizontally below eye. ",,Y,UK Marine Strategy NIS monitoring list 2020
Hesperibalanus fallax,Small barnacle,Often on plastic & twine. ,,Y,UK Marine Strategy NIS monitoring list 2020
Hydroides ezoensis,Twin keel worm,Likely confused with H. norvegica. Check for paired ridges.,Maybe check with JB before validation.,Y,
Magallana gigas,Pacific oyster,Yes - I presume you are familiar with this one.,,Y,UK Marine Strategy NIS monitoring list 2020
Megabalanus coccopoma,Titan barnacle,Horizon but good to keep on list.,"Do not validate any records, specimen would require examination by CW/JB, and specimen sent to NHM.",,Horizon species - UK Marine Strategy NIS monitoring list 2020
Ocinebrellus inornatus,Japanese oyster drill,Horizon but good to keep on list.,"Do not validate any records, specimen would require examination by Cochological Society, and specimen sent to NHM.",,Horizon species - UK Marine Strategy NIS monitoring list 2020
Perophora japonica,Creeping sea squirt,Look for distinct bright yellow star-like buds and stolons.,,Y,
Pseudodiaptomus marinus,Marine copepod,Yes - I presume you are familiar with this one.,,,UK Marine Strategy NIS monitoring list 2020
Sargassum muticum,Wireweed,Yes - I presume you are familiar with this one.,,Y,UK Marine Strategy NIS monitoring list 2020
Schizoporella japonica,Orange ripple bryzoan,"Common on shores in Scotland, but not known from shores elsewhere.",Check with JB before validation.,Y,UK Marine Strategy NIS monitoring list 2020
Styela clava,Leathery sea squirt,Yes - I presume you are familiar with this one.,,Y,UK Marine Strategy NIS monitoring list 2020
Tricellaria inopinata,Tufty buff bryzoan,"Very common, but ID can't be confirmed without a microscope. There are Bugulina species and Scrupocellaria that look the same with the naked eye.",,Y,
Undaria pinnatifida,Wakame,Yes - I presume you are familiar with this one.,,Y,UK Marine Strategy NIS monitoring list 2020
Urosalpinx cinerea,American oyster drill,Not known from area. Needs expert confirmation from conchologist.,"Do not validate any records, specimen would require examination by Cochological Society, and specimen sent to NHM.",Y,UK Marine Strategy NIS monitoring list 2020
Watersipora subatra,Red ripple bryozoan,Yes - I presume you are familiar with this one.,,Y,UK Marine Strategy NIS monitoring list 2020
